id,name,vendor_sku,change_to
75527,Panhead Grade 18-8 Machine Screw,37-6715,
75528,Panhead Grade J82 Machine Screw,37-6716,
75526,Panhead Grade J82 Steel Machine Screw,37-6714,
79583,Panhead Knucklehead Guide Set,48-1895,
83173,Parkerized Headbolt,9725-20,
83174,Parkerized Headbolt,9726-20,
77196,Parkerized Oil Pressure Sender Unit Extension,40-1421,
69424,Parkerized Servi-Car Hanger and Clamp Set,31-0000,
83162,Parkerized Stem Nut Spring,9713-1,
82043,PARTS RECEIVED FROM CUSTOMER,60-5555,Remove
79266,Patent Metal Medallion Set,48-0887,
513181,Phillips Head Chrome Screw,37-2099,
92758,Phillips Head Chrome Screws,37-2096,
82518,Phillips Machine Screw 4-40 x 5/16 inch Stainless Steel,73-0283,
95200,Pivot Lock Plate,49-2575,
75470,PIVOT TUBE SPACER,37-4098,
92933,Pivot Washer Set Inner,37-8896,
70947,Points Cover Insert with Hole Raw,32-2066,Timing points cover
79222,Police 1200 Big Scale Display Model,48-0652,Memorabilia -  model
79062,Polished Stainless Steel Speed Ball Wing,48-0032,
79061,Polished Stainless Steel Speed Ball Wing,48-0031,
64322,"PRIMARY BELT LARGE SPACER, BLACK OXIDE",20-8983,
64323,"PRIMARY BELT LARGE SPACER, ZINC",20-8984,
75756,Primary Cap Set Chrome,37-8991,
77868,Primary Loose Parts Kit Raw,42-1872,
96127,Pulley Bolt and Nut 7/16 inch-20 X 1-1/2 inch Allen Style,8842-10,Pulley hardware
93145,Pulley Bolt and Nut Kit,3767-15,Pulley hardware
92876,Pulley Bolt Set,37-8671,Pulley hardware
64321,"PULLEY BOLT WASHER, BLACK OXIDE",20-8982,Pulley hardware
82108,Racing Poster Large,68-0028,Memorabilia - art
82109,Racing Poster XL,68-0029,Memorabilia - art
91020,Radio and BCM Connector Kit,32-9712,
77373,Radio Cover,42-0009,
70806,Radio Static Plugin,32-1721,
82144,Raptor Mechanic Toy,68-0054,
85974,Ratchet Drum Cover Natural,17-0103,
77360,Rattle Bomb Spray Kit,41-0883,Spray paint
77358,Rattle Bomb Spray Kit Blue,41-0881,Spray paint
77357,Rattle Bomb Spray Kit Burgundy,41-0880,Spray paint
77354,Rattle Bomb Spray Kit Gold,41-0877,Spray paint
77355,Rattle Bomb Spray Kit Green,41-0878,Spray paint
77356,Rattle Bomb Spray Kit Orange,41-0879,Spray paint
77359,Rattle Bomb Spray Kit Purple,41-0882,Spray paint
89716,Rear Cowl Trim Strip,31-0247,
82940,Rear Disc Allen Bolt Set,8791-10T,
96256,Rear Disc Bolt and Nut Kit Chrome,9807-10,
83226,Rear Disc Bolt and Nut Kit Chrome,9807-10T,
91061,Rear Disc Bolt and Nut Kit Zinc,3270-10,
55251,REAR DOCKING KIT CHROME FLH/FLT 97-08,82-96551,
95206,Rear Hanger Clamp Chrome,49-2590,
95201,Rear Hanger Clamp Parkerized,49-2577,
87468,Rear Mechanical Brake Locating Block Zinc,23-0411,
93704,Rear Remote Reservoir Cover Chrome,42-0014,
